Rented Bike Count,hour_sin,hour_cos,Temperature,Humidity,Wind speed,Visibility,Solar Radiation,Rainfall,Snowfall,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday
254,0.0,1.0,-5.2,37,2.2,2000,0.0,0.0,0.0,0,0,0,1,1
204,0.25881904510252074,0.9659258262890683,-5.5,38,0.8,2000,0.0,0.0,0.0,0,0,0,1,1
173,0.49999999999999994,0.8660254037844387,-6.0,39,1.0,2000,0.0,0.0,0.0,0,0,0,1,1
107,0.7071067811865475,0.7071067811865476,-6.2,40,0.9,2000,0.0,0.0,0.0,0,0,0,1,1
78,0.8660254037844386,0.5000000000000001,-6.0,36,2.3,2000,0.0,0.0,0.0,0,0,0,1,1
100,0.9659258262890683,0.25881904510252074,-6.4,37,1.5,2000,0.0,0.0,0.0,0,0,0,1,1
181,1.0,6.123233995736766e-17,-6.6,35,1.3,2000,0.0,0.0,0.0,0,0,0,1,1
460,0.9659258262890683,-0.25881904510252063,-7.4,38,0.9,2000,0.0,0.0,0.0,0,0,0,1,1
930,0.8660254037844387,-0.4999999999999998,-7.6,37,1.1,2000,0.01,0.0,0.0,0,0,0,1,1
490,0.7071067811865476,-0.7071067811865475,-6.5,27,0.5,1928,0.23,0.0,0.0,0,0,0,1,1
339,0.49999999999999994,-0.8660254037844387,-3.5,24,1.2,1996,0.65,0.0,0.0,0,0,0,1,1
360,0.258819045102521,-0.9659258262890682,-0.5,21,1.3,1936,0.94,0.0,0.0,0,0,0,1,1
449,1.2246467991473532e-16,-1.0,1.7,23,1.4,2000,1.11,0.0,0.0,0,0,0,1,1
451,-0.2588190451025208,-0.9659258262890683,2.4,25,1.6,2000,1.16,0.0,0.0,0,0,0,1,1
447,-0.4999999999999997,-0.8660254037844388,3.0,26,2.0,2000,1.01,0.0,0.0,0,0,0,1,1
463,-0.7071067811865471,-0.7071067811865479,2.1,36,3.2,2000,0.54,0.0,0.0,0,0,0,1,1
484,-0.8660254037844384,-0.5000000000000004,1.2,54,4.2,793,0.24,0.0,0.0,0,0,0,1,1
555,-0.9659258262890683,-0.25881904510252063,0.8,58,1.6,2000,0.08,0.0,0.0,0,0,0,1,1
862,-1.0,-1.8369701987210297e-16,0.6,66,1.4,2000,0.0,0.0,0.0,0,0,0,1,1
600,-0.9659258262890684,0.2588190451025203,0.0,77,1.7,2000,0.0,0.0,0.0,0,0,0,1,1
426,-0.8660254037844386,0.5000000000000001,-0.3,79,1.5,1913,0.0,0.0,0.0,0,0,0,1,1
405,-0.7071067811865477,0.7071067811865474,-0.8,81,0.8,1687,0.0,0.0,0.0,0,0,0,1,1
398,-0.5000000000000004,0.8660254037844384,-0.9,83,1.5,1380,0.0,0.0,0.0,0,0,0,1,1
323,-0.25881904510252157,0.9659258262890681,-1.3,84,1.0,1265,0.0,0.0,0.0,0,0,0,1,1
328,0.0,1.0,-1.8,87,1.1,994,0.0,0.0,0.0,0,0,0,1,1
308,0.25881904510252074,0.9659258262890683,-2.2,86,0.6,990,0.0,0.0,0.0,0,0,0,1,1
262,0.49999999999999994,0.8660254037844387,-2.9,86,1.5,1256,0.0,0.0,0.0,0,0,0,1,1
167,0.7071067811865475,0.7071067811865476,-3.5,81,2.2,1221,0.0,0.0,0.0,0,0,0,1,1
89,0.8660254037844386,0.5000000000000001,-3.8,79,2.0,1167,0.0,0.0,0.0,0,0,0,1,1
79,0.9659258262890683,0.25881904510252074,-4.0,79,1.5,1202,0.0,0.0,0.0,0,0,0,1,1
70,1.0,6.123233995736766e-17,-4.3,82,2.1,1178,0.0,0.0,0.0,0,0,0,1,1
146,0.9659258262890683,-0.25881904510252063,-4.4,81,2.5,1276,0.0,0.0,0.0,0,0,0,1,1
219,0.8660254037844387,-0.4999999999999998,-4.2,79,2.1,1436,0.01,0.0,0.0,0,0,0,1,1
328,0.7071067811865476,-0.7071067811865475,-2.9,68,1.6,1487,0.3,0.0,0.0,0,0,0,1,1
334,0.49999999999999994,-0.8660254037844387,-0.4,57,1.6,1309,0.8,0.0,0.0,0,0,0,1,1
388,0.258819045102521,-0.9659258262890682,1.9,49,1.8,1406,1.0,0.0,0.0,0,0,0,1,1
479,1.2246467991473532e-16,-1.0,4.3,41,1.3,1666,1.09,0.0,0.0,0,0,0,1,1
606,-0.2588190451025208,-0.9659258262890683,6.0,36,1.8,1780,1.12,0.0,0.0,0,0,0,1,1
611,-0.4999999999999997,-0.8660254037844388,7.3,35,1.3,1955,0.99,0.0,0.0,0,0,0,1,1
589,-0.7071067811865471,-0.7071067811865479,7.6,41,2.3,1953,0.74,0.0,0.0,0,0,0,1,1
618,-0.8660254037844384,-0.5000000000000004,6.4,48,2.6,1945,0.22,0.0,0.0,0,0,0,1,1
572,-0.9659258262890683,-0.25881904510252063,6.0,51,2.5,1891,0.06,0.0,0.0,0,0,0,1,1
489,-1.0,-1.8369701987210297e-16,5.5,53,1.5,1697,0.0,0.0,0.0,0,0,0,1,1
385,-0.9659258262890684,0.2588190451025203,5.0,52,2.3,1666,0.0,0.0,0.0,0,0,0,1,1
359,-0.8660254037844386,0.5000000000000001,4.6,51,1.2,1585,0.0,0.0,0.0,0,0,0,1,1
377,-0.7071067811865477,0.7071067811865474,4.1,55,1.2,1448,0.0,0.0,0.0,0,0,0,1,1
354,-0.5000000000000004,0.8660254037844384,3.5,54,1.5,1446,0.0,0.0,0.0,0,0,0,1,1
366,-0.25881904510252157,0.9659258262890681,4.0,56,1.0,1352,0.0,0.0,0.0,0,0,0,1,1
342,0.0,1.0,4.0,58,1.4,1296,0.0,0.0,0.0,0,0,0,1,1
227,0.25881904510252074,0.9659258262890683,3.9,69,1.7,485,0.0,0.0,0.0,0,0,0,1,1
228,0.49999999999999994,0.8660254037844387,3.3,79,1.4,830,0.0,0.0,0.0,0,0,0,1,1
117,0.7071067811865475,0.7071067811865476,3.4,71,1.6,1011,0.0,0.5,0.0,0,0,0,1,1
76,0.8660254037844386,0.5000000000000001,3.5,73,1.0,1060,0.0,0.0,0.0,0,0,0,1,1
32,0.9659258262890683,0.25881904510252074,3.9,75,1.9,914,0.0,0.0,0.0,0,0,0,1,1
13,1.0,6.123233995736766e-17,3.4,86,2.5,278,0.0,1.0,0.0,0,0,0,1,1
22,0.9659258262890683,-0.25881904510252063,3.1,91,1.2,129,0.0,0.0,0.0,0,0,0,1,1
85,0.8660254037844387,-0.4999999999999998,3.2,92,1.8,244,0.0,0.0,0.0,0,0,0,1,1
152,0.7071067811865476,-0.7071067811865475,3.5,91,1.8,231,0.02,2.5,0.0,0,0,0,1,1
200,0.49999999999999994,-0.8660254037844387,4.4,89,2.2,257,0.24,0.0,0.0,0,0,0,1,1
273,0.258819045102521,-0.9659258262890682,5.1,87,1.4,321,0.25,0.0,0.0,0,0,0,1,1
333,1.2246467991473532e-16,-1.0,5.8,85,1.7,349,0.43,0.0,0.0,0,0,0,1,1
495,-0.2588190451025208,-0.9659258262890683,6.8,81,1.9,390,0.6,0.0,0.0,0,0,0,1,1
563,-0.4999999999999997,-0.8660254037844388,7.6,76,1.2,422,0.69,0.0,0.0,0,0,0,1,1
621,-0.7071067811865471,-0.7071067811865479,8.0,73,1.6,433,0.53,0.0,0.0,0,0,0,1,1
598,-0.8660254037844384,-0.5000000000000004,7.6,77,1.6,399,0.2,0.0,0.0,0,0,0,1,1
545,-0.9659258262890683,-0.25881904510252063,6.7,82,1.5,358,0.05,0.0,0.0,0,0,0,1,1
443,-1.0,-1.8369701987210297e-16,6.0,84,1.9,327,0.0,0.0,0.0,0,0,0,1,1
422,-0.9659258262890684,0.2588190451025203,5.7,85,1.7,309,0.0,0.0,0.0,0,0,0,1,1
397,-0.8660254037844386,0.5000000000000001,5.2,87,1.4,253,0.0,0.0,0.0,0,0,0,1,1
385,-0.7071067811865477,0.7071067811865474,4.7,87,1.2,247,0.0,0.0,0.0,0,0,0,1,1
350,-0.5000000000000004,0.8660254037844384,4.3,89,1.8,201,0.0,0.0,0.0,0,0,0,1,1
303,-0.25881904510252157,0.9659258262890681,3.9,90,1.3,194,0.0,0.0,0.0,0,0,0,1,1
285,0.0,1.0,4.2,88,0.6,216,0.0,0.0,0.0,0,0,0,1,1
186,0.25881904510252074,0.9659258262890683,4.3,87,0.5,221,0.0,0.0,0.0,0,0,0,1,1
112,0.49999999999999994,0.8660254037844387,4.4,87,1.8,207,0.0,0.0,0.0,0,0,0,1,1
65,0.7071067811865475,0.7071067811865476,3.6,85,2.3,206,0.0,0.0,0.0,0,0,0,1,1
41,0.8660254037844386,0.5000000000000001,2.8,89,1.5,130,0.0,0.0,0.0,0,0,0,1,1
82,0.9659258262890683,0.25881904510252074,2.0,83,2.7,253,0.0,0.0,0.0,0,0,0,1,1
200,1.0,6.123233995736766e-17,1.2,76,3.7,371,0.0,0.1,0.0,0,0,0,1,1
498,0.9659258262890683,-0.25881904510252063,0.2,68,3.4,702,0.0,0.0,0.0,0,0,0,1,1
937,0.8660254037844387,-0.4999999999999998,-0.8,69,3.5,954,0.01,0.0,0.0,0,0,0,1,1
509,0.7071067811865476,-0.7071067811865475,-1.5,47,4.2,1888,0.22,0.0,0.0,0,0,0,1,1
379,0.258819045102521,-0.9659258262890682,-0.5,41,4.1,1799,0.94,0.0,0.0,0,0,0,1,1
807,-1.0,-1.8369701987210297e-16,-2.1,29,3.9,2000,0.0,0.0,0.0,0,0,0,1,1
568,-0.9659258262890684,0.2588190451025203,-2.9,32,3.2,2000,0.0,0.0,0.0,0,0,0,1,1
398,-0.8660254037844386,0.5000000000000001,-3.6,38,3.0,2000,0.0,0.0,0.0,0,0,0,1,1
353,-0.5000000000000004,0.8660254037844384,-5.3,45,2.5,2000,0.0,0.0,0.0,0,0,0,1,1
248,-0.25881904510252157,0.9659258262890681,-5.8,44,2.4,2000,0.0,0.0,0.0,0,0,0,1,1
216,0.0,1.0,-6.1,42,2.6,2000,0.0,0.0,0.0,0,0,0,1,1
198,0.25881904510252074,0.9659258262890683,-6.5,41,2.8,2000,0.0,0.0,0.0,0,0,0,1,1
124,0.49999999999999994,0.8660254037844387,-6.8,41,2.5,2000,0.0,0.0,0.0,0,0,0,1,1
62,0.7071067811865475,0.7071067811865476,-6.9,39,2.0,2000,0.0,0.0,0.0,0,0,0,1,1
42,0.8660254037844386,0.5000000000000001,-7.2,34,3.0,2000,0.0,0.0,0.0,0,0,0,1,1
82,0.9659258262890683,0.25881904510252074,-7.4,33,2.6,2000,0.0,0.0,0.0,0,0,0,1,1
172,1.0,6.123233995736766e-17,-7.4,34,3.2,2000,0.0,0.0,0.0,0,0,0,1,1
381,0.9659258262890683,-0.25881904510252063,-7.5,33,2.2,2000,0.0,0.0,0.0,0,0,0,1,1
812,0.8660254037844387,-0.4999999999999998,-8.1,36,1.6,2000,0.01,0.0,0.0,0,0,0,1,1
462,0.7071067811865476,-0.7071067811865475,-7.6,31,1.3,1974,0.21,0.0,0.0,0,0,0,1,1
269,0.49999999999999994,-0.8660254037844387,-5.5,26,2.8,1967,0.64,0.0,0.0,0,0,0,1,1
334,0.258819045102521,-0.9659258262890682,-3.9,25,0.0,1959,0.0,0.0,0.0,0,0,0,1,1
321,1.2246467991473532e-16,-1.0,-2.3,25,0.0,1962,0.0,0.0,0.0,0,0,0,1,1
325,-0.2588190451025208,-0.9659258262890683,-1.6,27,0.0,1955,0.0,0.0,0.0,0,0,0,1,1
334,-0.4999999999999997,-0.8660254037844388,-1.1,28,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
353,-0.7071067811865471,-0.7071067811865479,-0.7,28,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
435,-0.8660254037844384,-0.5000000000000004,-0.5,30,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
529,-0.9659258262890683,-0.25881904510252063,-1.6,35,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
789,-1.0,-1.8369701987210297e-16,-2.6,40,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
597,-0.9659258262890684,0.2588190451025203,-3.2,45,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
418,-0.8660254037844386,0.5000000000000001,-3.5,46,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
415,-0.7071067811865477,0.7071067811865474,-3.7,47,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
393,-0.5000000000000004,0.8660254037844384,-2.8,49,0.0,2000,0.0,0.0,0.0,0,0,0,1,1
244,-0.25881904510252157,0.9659258262890681,-2.5,59,0.0,1210,0.0,0.0,0.0,0,0,0,1,1
145,0.0,1.0,-2.8,77,0.0,331,0.0,0.1,0.1,0,0,0,1,1
144,0.25881904510252074,0.9659258262890683,-3.0,79,0.0,293,0.0,0.0,0.3,0,0,0,1,1
117,0.49999999999999994,0.8660254037844387,-3.0,79,0.0,1862,0.0,0.0,0.4,0,0,0,1,1
78,0.7071067811865475,0.7071067811865476,-3.2,78,0.0,1808,0.0,0.2,0.4,0,0,0,1,1
58,0.8660254037844386,0.5000000000000001,-3.4,75,0.0,1982,0.0,0.0,0.4,0,0,0,1,1
87,0.9659258262890683,0.25881904510252074,-3.6,76,0.0,1934,0.0,0.0,0.4,0,0,0,1,1
142,1.0,6.123233995736766e-17,-3.7,76,0.0,1864,0.0,0.0,0.4,0,0,0,1,1
379,0.9659258262890683,-0.25881904510252063,-4.2,77,0.0,1741,0.0,0.0,0.3,0,0,0,1,1
802,0.8660254037844387,-0.4999999999999998,-4.2,78,0.0,1518,0.01,0.0,0.2,0,0,0,1,1
440,0.7071067811865476,-0.7071067811865475,-3.3,70,0.0,1324,0.25,0.0,0.2,0,0,0,1,1
307,0.49999999999999994,-0.8660254037844387,-0.9,64,0.0,1224,0.63,0.0,0.2,0,0,0,1,1
381,0.258819045102521,-0.9659258262890682,1.6,57,1.2,1261,0.93,0.0,0.0,0,0,0,1,1
